row,col,x,y,enabled
0,0,-26.162950903902257,26.162950903902257,1
0,1,-18.687822074215898,26.162950903902257,1
0,2,-11.212693244529538,26.162950903902257,1
0,3,-3.7375644148431775,26.162950903902257,1
0,4,3.737564414843181,26.162950903902257,1
0,5,11.21269324452954,26.162950903902257,1
0,6,18.6878220742159,26.162950903902257,1
0,7,26.162950903902257,26.162950903902257,1
1,0,-26.162950903902257,18.687822074215898,1
1,1,-18.687822074215898,18.687822074215898,1
1,2,-11.212693244529538,18.687822074215898,1
1,3,-3.7375644148431775,18.687822074215898,1
1,4,3.737564414843181,18.687822074215898,1
1,5,11.21269324452954,18.687822074215898,1
1,6,18.6878220742159,18.687822074215898,1
1,7,26.162950903902257,18.687822074215898,1
2,0,-26.162950903902257,11.212693244529538,1
2,1,-18.687822074215898,11.212693244529538,1
2,2,-11.212693244529538,11.212693244529538,1
2,3,-3.7375644148431775,11.212693244529538,1
2,4,3.737564414843181,11.212693244529538,1
2,5,11.21269324452954,11.212693244529538,1
2,6,18.6878220742159,11.212693244529538,1
2,7,26.162950903902257,11.212693244529538,1
3,0,-26.162950903902257,3.7375644148431775,1
3,1,-18.687822074215898,3.7375644148431775,1
3,2,-11.212693244529538,3.7375644148431775,1
3,3,-3.7375644148431775,3.7375644148431775,1
3,4,3.737564414843181,3.7375644148431775,1
3,5,11.21269324452954,3.7375644148431775,1
3,6,18.6878220742159,3.7375644148431775,1
3,7,26.162950903902257,3.7375644148431775,1
4,0,-26.162950903902257,-3.737564414843181,1
4,1,-18.687822074215898,-3.737564414843181,1
4,2,-11.212693244529538,-3.737564414843181,1
4,3,-3.7375644148431775,-3.737564414843181,1
4,4,3.737564414843181,-3.737564414843181,1
4,5,11.21269324452954,-3.737564414843181,1
4,6,18.6878220742159,-3.737564414843181,1
4,7,26.162950903902257,-3.737564414843181,1
5,0,-26.162950903902257,-11.21269324452954,1
5,1,-18.687822074215898,-11.21269324452954,1
5,2,-11.212693244529538,-11.21269324452954,1
5,3,-3.7375644148431775,-11.21269324452954,1
5,4,3.737564414843181,-11.21269324452954,1
5,5,11.21269324452954,-11.21269324452954,1
5,6,18.6878220742159,-11.21269324452954,1
5,7,26.162950903902257,-11.21269324452954,1
6,0,-26.162950903902257,-18.6878220742159,1
6,1,-18.687822074215898,-18.6878220742159,1
6,2,-11.212693244529538,-18.6878220742159,1
6,3,-3.7375644148431775,-18.6878220742159,1
6,4,3.737564414843181,-18.6878220742159,1
6,5,11.21269324452954,-18.6878220742159,1
6,6,18.6878220742159,-18.6878220742159,1
6,7,26.162950903902257,-18.6878220742159,1
7,0,-26.162950903902257,-26.162950903902257,1
7,1,-18.687822074215898,-26.162950903902257,1
7,2,-11.212693244529538,-26.162950903902257,1
7,3,-3.7375644148431775,-26.162950903902257,1
7,4,3.737564414843181,-26.162950903902257,1
7,5,11.21269324452954,-26.162950903902257,1
7,6,18.6878220742159,-26.162950903902257,1
7,7,26.162950903902257,-26.162950903902257,1
